,Electrolyte,Co-adsorbent,Co-sensitizer,Semiconductor,Molecule keywords
314,Iodide_Triiodide,None,None,TiO2,phenothiazine
315,Iodide_Triiodide,None,None,TiO2,phenothiazine
316,Iodide_Triiodide,None,None,TiO2,phenothiazine
318,Iodide_Triiodide,None,None,TiO2,phenoxazine
325,Iodide_Triiodide,None,None,TiO2,phenothiazine
326,Iodide_Triiodide,None,None,TiO2,phenothiazine
327,Iodide_Triiodide,None,None,TiO2,phenothiazine
328,Iodide_Triiodide,None,None,TiO2,phenothiazine
329,Iodide_Triiodide,None,None,TiO2,phenothiazine
330,Iodide_Triiodide,None,None,TiO2,phenothiazine
331,Iodide_Triiodide,None,None,TiO2,phenothiazine
332,Iodide_Triiodide,None,None,TiO2,phenothiazine
334,Iodide_Triiodide,None,None,TiO2,phenothiazine
335,Iodide_Triiodide,None,None,TiO2,phenothiazine
336,Iodide_Triiodide,None,None,TiO2,phenothiazine
337,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
341,Iodide_Triiodide,None,None,TiO2,phenothiazine
342,Iodide_Triiodide,None,None,TiO2,phenothiazine
343,Iodide_Triiodide,None,None,TiO2,phenothiazine
344,Iodide_Triiodide,None,None,TiO2,phenothiazine
345,Iodide_Triiodide,None,None,TiO2,phenothiazine
346,Iodide_Triiodide,None,None,TiO2,phenothiazine
347,Iodide_Triiodide,None,None,TiO2,phenothiazine
348,Iodide_Triiodide,None,None,TiO2,phenothiazine
349,Iodide_Triiodide,None,None,TiO2,phenothiazine
353,Iodide_Triiodide,None,None,TiO2,phenothiazine
354,Iodide_Triiodide,None,None,TiO2,phenothiazine
355,Iodide_Triiodide,None,None,TiO2,phenothiazine
356,Iodide_Triiodide,None,None,TiO2,phenoxazine
357,Iodide_Triiodide,None,None,TiO2,phenothiazine
358,Iodide_Triiodide,None,None,TiO2,phenothiazine
364,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
365,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
366,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
369,Iodide_Triiodide,None,None,TiO2,phenothiazine
370,Iodide_Triiodide,None,None,TiO2,phenothiazine
371,Iodide_Triiodide,None,None,TiO2,phenothiazine
372,Iodide_Triiodide,None,None,TiO2,phenothiazine
373,Iodide_Triiodide,None,None,TiO2,"triphenylamine, phenothiazine"
378,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
381,Iodide_Triiodide,None,None,TiO2,phenothiazine
382,Iodide_Triiodide,None,None,TiO2,"phenothiazine, triphenylamine"
384,Iodide_Triiodide,None,None,TiO2,"phenothiazine, triphenylamine"
385,Iodide_Triiodide,None,None,TiO2,"phenothiazine, triphenylamine"
386,Iodide_Triiodide,None,None,TiO2,"phenothiazine, triphenylamine"
397,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, dithienopyrrolobenzothiadiazole"
398,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, dithienopyrrolobenzothiadiazole"
399,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, dithienopyrrolobenzothiadiazole"
400,Iodide_Triiodide,None,None,TiO2,"triphenylamine,  dithienopyrrolobenzothiadiazole"
404,Iodide_Triiodide,None,None,TiO2,phenothiazine
405,Iodide_Triiodide,None,None,TiO2,phenothiazine
406,Iodide_Triiodide,None,None,TiO2,phenoxazine
407,Iodide_Triiodide,None,None,TiO2,phenothiazine
408,Iodide_Triiodide,None,None,TiO2,phenoxazine
409,Iodide_Triiodide,None,None,TiO2,phenothiazine
410,Iodide_Triiodide,None,None,TiO2,phenothiazine
411,Iodide_Triiodide,None,None,TiO2,bodipy
412,Iodide_Triiodide,None,None,TiO2,phenothiazine
413,Iodide_Triiodide,None,None,TiO2,phenothiazine
414,Iodide_Triiodide,None,None,TiO2,phenothiazine
415,Iodide_Triiodide,None,None,TiO2,phenothiazine
423,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
424,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
425,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
426,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
427,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
433,Iodide_Triiodide,None,None,TiO2,bodipy
435,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
436,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
437,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
439,Iodide_Triiodide,None,None,TiO2,phenothiazine
441,Iodide_Triiodide,None,None,TiO2,phenothiazine
442,Iodide_Triiodide,None,None,TiO2,phenothiazine
445,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
447,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
451,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
452,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
453,Iodide_Triiodide,CDCA,None,TiO2,phenoxazine
454,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
458,Iodide_Triiodide,None,None,TiO2,phenothiazine
459,Iodide_Triiodide,None,None,TiO2,bodipy
470,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
472,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
473,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, triphenylamine"
474,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
475,Iodide_Triiodide,None,None,TiO2,phenothiazine
476,Iodide_Triiodide,None,None,TiO2,phenothiazine
478,Iodide_Triiodide,None,None,TiO2,phenothiazine
486,Iodide_Triiodide,None,None,TiO2,phenothiazine
487,Iodide_Triiodide,None,None,TiO2,phenothiazine
488,Iodide_Triiodide,None,None,TiO2,iminodibenzyl
489,Iodide_Triiodide,None,None,TiO2,bodipy
490,Iodide_Triiodide,None,None,TiO2,phenothiazine
491,Iodide_Triiodide,None,None,TiO2,phenothiazine
492,Iodide_Triiodide,None,None,TiO2,phenothiazine
493,Iodide_Triiodide,None,None,TiO2,phenothiazine
494,Iodide_Triiodide,None,None,TiO2,phenothiazine
495,Iodide_Triiodide,CDCA,None,TiO2,"carbazole, triphenylamine"
497,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
498,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
499,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
501,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, carbazole"
503,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, carbazole"
504,Iodide_Triiodide,CDCA,None,TiO2,"phenothiazine, carbazole"
512,Iodide_Triiodide,None,None,TiO2,phenothiazine
514,Iodide_Triiodide,None,None,TiO2,phenothiazine
515,Iodide_Triiodide,None,None,TiO2,phenothiazine
516,Iodide_Triiodide,None,None,TiO2,phenothiazine
517,Iodide_Triiodide,None,None,TiO2,phenothiazine
518,Iodide_Triiodide,None,None,TiO2,phenothiazine
519,Iodide_Triiodide,None,None,TiO2,phenothiazine
520,Iodide_Triiodide,None,None,TiO2,phenothiazine
521,Iodide_Triiodide,None,None,TiO2,phenothiazine
522,Iodide_Triiodide,None,None,TiO2,phenothiazine
523,Iodide_Triiodide,None,None,TiO2,phenothiazine
524,Iodide_Triiodide,None,None,TiO2,phenothiazine
527,Iodide_Triiodide,HC-A1,None,TiO2,phenothiazine
528,Iodide_Triiodide,None,None,TiO2,phenothiazine
529,Iodide_Triiodide,None,None,TiO2,phenothiazine
530,Iodide_Triiodide,None,None,TiO2,phenothiazine
531,Iodide_Triiodide,None,None,TiO2,phenothiazine
533,Iodide_Triiodide,None,None,TiO2,phenothiazine
535,Iodide_Triiodide,None,None,TiO2,phenothiazine
536,Iodide_Triiodide,None,None,TiO2,phenothiazine
537,Iodide_Triiodide,None,None,TiO2,phenothiazine
538,Iodide_Triiodide,20 mM diphenyphosphinic acid,None,TiO2,phenylenebisthiophene
540,Iodide_Triiodide,None,None,TiO2,phenothiazine
541,Iodide_Triiodide,None,None,TiO2,phenothiazine
542,Iodide_Triiodide,None,None,TiO2,"phenothiazine,carbazole"
543,Iodide_Triiodide,None,None,TiO2,"phenothiazine,carbazole"
544,Iodide_Triiodide,None,None,TiO2,"phenothiazine,carbazole"
545,Iodide_Triiodide,None,None,TiO2,"phenothiazine,carbazole"
546,Iodide_Triiodide,None,None,TiO2,phenothiazine
551,Iodide_Triiodide,None,None,TiO2,phenothiazine
552,Iodide_Triiodide,None,None,TiO2,phenothiazine
553,Iodide_Triiodide,None,None,TiO2,phenothiazine
554,Iodide_Triiodide,None,None,TiO2,phenothiazine
555,Iodide_Triiodide,None,None,TiO2,phenothiazine
556,Iodide_Triiodide,None,None,TiO2,phenothiazine
557,Iodide_Triiodide,None,None,TiO2,"indoloquinoxaline,phenothiazine"
558,Iodide_Triiodide,None,None,TiO2,"indoloquinoxaline,phenothiazine"
559,Iodide_Triiodide,None,None,TiO2,phenothiazine
560,Iodide_Triiodide,None,None,TiO2,phenothiazine
561,Iodide_Triiodide,None,None,TiO2,phenothiazine
562,Iodide_Triiodide,None,None,TiO2,"triphenylamine, phenothiazine"
563,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
565,Iodide_Triiodide,None,None,TiO2,phenothiazine
566,Iodide_Triiodide,None,None,TiO2,phenothiazine
567,Iodide_Triiodide,None,None,TiO2,phenothiazine
569,Iodide_Triiodide,DCA,None,TiO2,phenoxazine
571,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
572,Iodide_Triiodide,None,None,TiO2,carbazole
573,Iodide_Triiodide,None,None,TiO2,carbazole
574,Iodide_Triiodide,None,None,TiO2,phenothiazine
575,Iodide_Triiodide,None,None,TiO2,phenothiazine
576,Iodide_Triiodide,None,None,TiO2,phenothiazine
577,Iodide_Triiodide,None,None,TiO2,phenothiazine
578,Iodide_Triiodide,None,None,TiO2,phenothiazine
579,Iodide_Triiodide,None,None,TiO2,phenothiazine
580,Iodide_Triiodide,None,None,TiO2,phenothiazine
581,Iodide_Triiodide,None,None,TiO2,"carbazole,hexylthiophene"
583,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
584,Iodide_Triiodide,None,None,TiO2,phenothiazine
585,Iodide_Triiodide,None,None,TiO2,phenothiazine
586,Iodide_Triiodide,None,None,TiO2,phenothiazine
587,Iodide_Triiodide,None,None,TiO2,phenothiazine
588,Iodide_Triiodide,None,None,TiO2,phenothiazine
589,Iodide_Triiodide,None,None,TiO2,phenothiazine
590,Iodide_Triiodide,None,None,TiO2,phenothiazine
591,Iodide_Triiodide,None,None,TiO2,phenothiazine
592,Iodide_Triiodide,None,None,TiO2,phenothiazine
593,Iodide_Triiodide,None,None,TiO2,phenothiazine
594,Iodide_Triiodide,None,None,TiO2,phenothiazine
595,Iodide_Triiodide,CDCA,N719,TiO2,phenothiazine
596,Iodide_Triiodide,CDCA,N719,TiO2,phenothiazine
600,Iodide_Triiodide,None,None,TiO2,phenothiazine
601,Iodide_Triiodide,None,None,TiO2,phenothiazine
603,Iodide_Triiodide,None,None,TiO2,carbazole
604,Iodide_Triiodide,None,None,TiO2,phenothiazine
605,Iodide_Triiodide,None,None,TiO2,phenothiazine
606,Iodide_Triiodide,None,None,TiO2,phenothiazine
607,Iodide_Triiodide,None,None,TiO2,"phenoxazine,bodipy"
608,Iodide_Triiodide,None,None,TiO2,phenothiazine
609,Iodide_Triiodide,None,None,TiO2,phenothiazine
610,Iodide_Triiodide,None,None,TiO2,phenothiazine
611,Iodide_Triiodide,None,None,TiO2,phenothiazine
612,Iodide_Triiodide,None,None,TiO2,"phenothiazine,bodipy"
619,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
620,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
621,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
622,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
623,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
624,Iodide_Triiodide,CDCA,None,TiO2,phenothiazine
628,Iodide_Triiodide,None,None,TiO2,carbazole
630,Iodide_Triiodide,None,None,TiO2,carbazole
631,Iodide_Triiodide,None,None,TiO2,carbazole
632,Iodide_Triiodide,None,None,TiO2,carbazole
633,Iodide_Triiodide,None,None,TiO2,carbazole
634,Iodide_Triiodide,None,None,TiO2,carbazole
635,Iodide_Triiodide,CDCA,None,TiO2,"carbazole, triphenylamine"
637,Iodide_Triiodide,CDCA,None,TiO2,"carbazole, triphenylamine"
638,Iodide_Triiodide,CDCA,None,TiO2,"carbazole, triphenylamine"
640,Iodide_Triiodide,None,None,TiO2,carbazole
641,Iodide_Triiodide,None,None,TiO2,carbazole
642,Iodide_Triiodide,None,None,TiO2,carbazole
643,Iodide_Triiodide,None,None,TiO2,carbazole
644,Iodide_Triiodide,None,None,TiO2,carbazole
645,Iodide_Triiodide,None,None,TiO2,"carbazole,hexylthiophene"
648,Iodide_Triiodide,CDCA,None,TiO2,carbazole
650,Bromide_Tribromide,CDCA,None,TiO2,carbazole
653,Bromide_Tribromide,CDCA,None,TiO2,carbazole
656,Iodide_Triiodide,None,None,TiO2,"fluorene, carbazole"
657,Iodide_Triiodide,None,None,TiO2,"fluorene, carbazole"
658,Iodide_Triiodide,None,None,TiO2,"fluorene, carbazole"
659,Iodide_Triiodide,None,None,TiO2,"fluorene, carbazole"
660,Iodide_Triiodide,None,None,TiO2,carbazole
661,Iodide_Triiodide,None,None,TiO2,carbazole
662,Iodide_Triiodide,None,None,TiO2,carbazole
665,Iodide_Triiodide,None,None,TiO2,carbazole
667,Iodide_Triiodide,CDCA,None,TiO2,carbazole
669,Iodide_Triiodide,None,None,TiO2,carbazole
670,Iodide_Triiodide,None,None,TiO2,triphenylamine
671,Iodide_Triiodide,None,None,TiO2,carbazole
672,Iodide_Triiodide,None,None,TiO2,"carbazole, indole"
674,Iodide_Triiodide,DCA,None,TiO2,thienocarbazole
676,Iodide_Triiodide,DCA,None,TiO2,thienocarbazole
677,Iodide_Triiodide,DCA,None,TiO2,thienocarbazole
678,Iodide_Triiodide,None,None,TiO2,indolocarbazole
679,Iodide_Triiodide,None,None,TiO2,indolocarbazole
680,Iodide_Triiodide,None,None,zinc titanium oxide film,benzothiadiazole
681,Iodide_Triiodide,None,None,TiO2,quinoxaline
682,Iodide_Triiodide,None,None,TiO2,"quinoxaline,carbazole"
683,Iodide_Triiodide,None,None,TiO2,"quinoxaline,carbazole"
684,Spiro-OMeTAD,None,None,TiO2,tetrahydroquinoline
685,Iodide_Triiodide,None,None,TiO2,carbazole
686,Iodide_Triiodide,CDCA,None,TiO2,"carbazole,bodipy"
688,Spiro-OMeTAD,None,None,TiO2,tetrahydroquinoline
689,Spiro-OMeTAD,None,None,TiO2,tetrahydroquinoline
690,Spiro-OMeTAD,None,None,TiO2,tetrahydroquinoline
691,Spiro-OMeTAD,None,None,TiO2,tetrahydroquinoline
693,Iodide_Triiodide,None,None,TiO2,carbazole
697,Iodide_Triiodide,None,None,TiO2,carbazole
698,Iodide_Triiodide,None,None,TiO2,carbazole
699,Iodide_Triiodide,None,None,TiO2,carbazole
700,Iodide_Triiodide,None,None,TiO2,carbazole
701,Iodide_Triiodide,None,None,TiO2,carbazole
702,Iodide_Triiodide,None,None,TiO2,carbazole
703,Iodide_Triiodide,None,None,TiO2,"carbazole,hexylthiophene"
705,Iodide_Triiodide,None,None,TiO2,"carbazole,hexylthiophene"
706,Iodide_Triiodide,None,None,TiO2,"carbazole,hexylthiophene"
707,Iodide_Triiodide,None,None,TiO2,"carbazole,hexylthiophene"
710,Iodide_Triiodide,None,None,TiO2,carbazole
711,Iodide_Triiodide,None,None,TiO2,carbazole
716,Iodide_Triiodide,None,None,TiO2,carbazole
717,Iodide_Triiodide,None,None,TiO2,carbazole
718,Iodide_Triiodide,None,None,TiO2,carbazole
719,Iodide_Triiodide,None,None,TiO2,carbazole
720,Iodide_Triiodide,None,None,TiO2,carbazole
722,solid organic ionic conductors,None,None,TiO2,carbazole
723,Iodide_Triiodide,None,None,TiO2,carbazole
724,Iodide_Triiodide,None,None,TiO2,carbazole
725,Iodide_Triiodide,None,None,TiO2,carbazole
726,Iodide_Triiodide,None,None,TiO2,carbazole
727,Iodide_Triiodide,None,None,TiO2,carbazole
728,Iodide_Triiodide,None,None,TiO2,carbazole
729,Iodide_Triiodide,None,None,TiO2,carbazole
730,Iodide_Triiodide,None,None,TiO2,carbazole
731,Iodide_Triiodide,None,None,TiO2,carbazole
733,Iodide_Triiodide,None,None,TiO2,carbazole
735,Iodide_Triiodide,CDCA,None,TiO2,carbazole
736,Iodide_Triiodide,None,None,TiO2,carbazole
738,Iodide_Triiodide,None,None,TiO2,carbazole
740,Iodide_Triiodide,None,None,TiO2,carbazole
742,Iodide_Triiodide,None,None,TiO2,carbazole
744,Iodide_Triiodide,None,None,TiO2,carbazole
745,Iodide_Triiodide,None,None,TiO2,carbazole
746,Iodide_Triiodide,None,None,TiO2,carbazole
747,Iodide_Triiodide,None,None,TiO2,carbazole
748,Iodide_Triiodide,None,None,TiO2,carbazole
